Epoch,Train_Loss,Val_Loss,Val_IoU,Val_Dice
1,0.3091756295074116,0.21413186663075498,0.6365027999395828,0.7695300600769033
2,0.21192047650163823,0.23722743282192632,0.6984085777644038,0.820042541921106
3,0.1834077616984194,0.17285481252168355,0.7197420488349258,0.8344435582450656
4,0.15089284032583236,0.16638531771145368,0.7162048072300753,0.8318685581585985
5,0.1253588320179419,0.14660233533696124,0.7504357483115378,0.8552743887636469
6,0.1093848084861582,0.14199772241868472,0.7609114745759746,0.8620036639347471
7,0.0999502115628936,0.14288574574809326,0.7590074015701126,0.8609848043224447
8,0.08862089311534709,0.14575316247187162,0.7468564582687321,0.852230467250171
9,0.07982396713711999,0.14780130198127345,0.7565932755590055,0.8592417509740765
10,0.06604620428247886,0.14698827815683266,0.7485949077446454,0.8527767313607569
11,0.058720732006159695,0.14517887720936223,0.764891047441956,0.8647379035301476
12,0.05546144910834052,0.15275034151579203,0.7449578843553223,0.8510006938157538
13,0.05195225016637282,0.1459946259856224,0.7600697912985893,0.8612483814379042
14,0.04525525664741343,0.1507971106391204,0.7564688635295606,0.8586276035857813
15,0.04269625019620765,0.1523922387706606,0.7563766927081746,0.8583386365671661
16,0.03950811197811907,0.1562808105035832,0.7516140826368185,0.8552193315913449
17,0.03840205632150173,0.1549106863768477,0.754842589750249,0.8575160803788805
18,0.03548237671228972,0.15524335205554962,0.7578910128490088,0.8596010249417442
19,0.034766150604594835,0.1572498251733027,0.7571340500819052,0.8590700390919457
20,0.034489146721634,0.15905254843987918,0.755280093721523,0.8578508541982282
