Epoch,Train_Loss,Val_Loss,Val_IoU,Val_Dice
1,1.158910741589286,0.20789469700110585,0.6928871640676671,0.8158926884160375
2,0.8114865042946555,0.17901478119586645,0.7356980742264714,0.8458274568040033
3,0.6445787949995561,0.15503342332024322,0.7362305725225001,0.8455588752140359
4,0.6273757972500541,0.16031534656098015,0.7393031170432394,0.8474434824294061
5,0.5922304446047003,0.14848966073048742,0.7452774275571653,0.8507492038088983
6,0.5884955151514574,0.16358558519890434,0.7180960095888911,0.8329924374033046
7,0.5202680110931397,0.13319569237922368,0.7771500793134795,0.8730665199406029
8,0.5058442245830189,0.126788824012405,0.7823978544692353,0.8760215317401979
9,0.4815380719575015,0.13619583217721237,0.7677138744380528,0.866167112015316
10,0.44256643761288034,0.12717214932567195,0.7836805810629531,0.8772624756526174
11,0.45502436486157505,0.12667637514440636,0.7862635653863207,0.8786973207600373
12,0.4389075739817186,0.11721798895221007,0.7984769600435823,0.886417111129511
13,0.4243916072628715,0.11778081286894648,0.7950327160914931,0.884290611016006
14,0.4220668765631589,0.13210253064569674,0.7741346286815446,0.8714154373262444
15,0.40477647402069783,0.11624049748245038,0.7957369412235897,0.8845129020242366
16,0.3807087789882313,0.11662630893682178,0.7966152770566711,0.8852855981894929
17,0.37603042450818147,0.11504015679422178,0.801387754002079,0.8883270315829153
18,0.36970398913730274,0.11978941528420699,0.7899164492055182,0.8807483264952104
19,0.3773819338191639,0.11495999560544365,0.799927708610839,0.8872909237784338
20,0.3566415537487377,0.11609457158728649,0.7977835688676054,0.8859113567051888
