Epoch,Train_Loss,Val_Loss,Val_IoU,Val_Dice
1,0.2872282521291213,0.20749058692078842,0.6732875406504804,0.8004348990114242
2,0.2002282903953032,0.18011303716584257,0.7100920195978819,0.8273584895491602
3,0.17617092322219502,0.15522182811247676,0.7362677771645494,0.8452311247511443
4,0.14081817377697337,0.1761554554104805,0.6832567419248903,0.8050506122129552
5,0.12366515885699879,0.148014529755241,0.7457573525226561,0.8512086047081433
6,0.10434571003372019,0.1488856716375602,0.7489714007268088,0.8537240662004857
7,0.09506792148405856,0.14502542661993126,0.7491267779201615,0.8532328815441698
8,0.0856462566012686,0.14462362190610484,0.749040269712017,0.8532400521420748
9,0.07558142420920459,0.15335654859480105,0.735399116806043,0.8443837848873358
10,0.06706079623915932,0.15213473964678614,0.7369834406297006,0.8446613274657377
11,0.06189211559566585,0.1494758823200276,0.7446617777329568,0.8498450026425265
12,0.056119977073235947,0.149167421617006,0.7511450115011358,0.855177785052188
13,0.04730266427451914,0.14874460038385892,0.7588152571584197,0.8601365337956692
14,0.043849435651844196,0.14624706969449394,0.7650323555527351,0.864555987957895
15,0.04087960107082671,0.15126300642364904,0.7586555890651705,0.8601846967618938
16,0.03833714435723695,0.1535407022426003,0.7598384343449766,0.8608830046098003
17,0.038028636405413804,0.15913370996713638,0.7483919095717326,0.853087240265008
18,0.0365586228330027,0.15745313583235993,0.7541357205209946,0.8570436011238924
19,0.03578333106230606,0.15639045520832665,0.7541815985220781,0.8570440992013686
20,0.035841889442367984,0.1560183947807864,0.7575413585709331,0.8593950418220686
