Variant,Mean_IoU,Std_IoU,Mean_Dice,Std_Dice,Parameters_M
Baseline (Early Fusion),0.7648244108957317,0.0022410058151982673,0.8641001721986958,0.001498885929961011,28.246722
Ablation: No Multi-Level Fusion,0.7668179757188602,0.0037174960451611234,0.8655115695596292,0.002495322171866051,60.136002
Ablation: No CBAM Attention,0.7761989859659219,0.003453351201334477,0.8717880193222778,0.0022392445652076915,62.901576
Ablation: No Deep Supervision,0.7724133871401376,0.004519138562272197,0.8692332069007243,0.0030011305273759063,64.295342
Ablation: No Warmup Scheduler,0.7689539858981419,0.01234514471434993,0.8671871786123612,0.008128465866857244,64.298932
Ablation: No Augmentation,0.7818365710046649,0.0020912691068281897,0.8754931219281165,0.0013777504198800668,64.298932
FULL MODEL (Proposed),0.8079089934900573,0.002169820500073447,0.8921473569944552,0.0013865983661596267,64.298932
