Variant,Run,Augmentation,Val_IoU,Val_Dice,Test_IoU,Test_Dice,Test_Precision,Test_Recall,Test_F1,Parameters
Baseline (Early Fusion),1,Yes,0.7358327317537097,0.842664438211713,0.7225019575808073,0.8336631843215828,0.8975528571341261,0.7820055495653846,0.8336626883150449,28246722
Ablation: No Multi-Level Fusion,1,Yes,0.7568831584064193,0.8572997928606239,0.7501189000146126,0.8526536984266292,0.8764902903184114,0.83192890988378,0.8526531994054364,60136002
Ablation: No CBAM Attention,1,Yes,0.7698182657666532,0.8658876661290122,0.7525734171882322,0.8545489977436027,0.9029810228296516,0.8139550258582854,0.8545485002097944,62901576
Ablation: No Deep Supervision,1,Yes,0.7566424602978666,0.8568279271376882,0.7461182322519311,0.8501192500873744,0.89060437767925,0.8154932828369097,0.8501187519210899,64295342
Ablation: No Warmup Scheduler,1,Yes,0.7723655648406128,0.8683016925667085,0.7402160715984293,0.846533815463874,0.9142623529633106,0.7909089796980542,0.8465333192023299,64298932
Ablation: No Augmentation,1,No,0.7672644850952111,0.8645254642034803,0.7592573882412278,0.8592349091149734,0.9004951690652708,0.823771763426078,0.8592344109177843,64298932
FULL MODEL (Proposed),1,Yes,0.7885085614851027,0.8787789365227172,0.7777726678177439,0.8719919775101603,0.9061275461166126,0.8422136942119416,0.8719914788259711,64298932
