Epoch,Train_Loss,Val_Loss,Val_IoU,Val_Dice
1,1.1594858765602112,0.20827297003645645,0.6931995417854226,0.8161160076504936
2,0.8113771341063759,0.17359715308013715,0.7397238577948244,0.8484446935287414
3,0.6448516775261272,0.15261258655472806,0.7395153754135888,0.8475473926708411
4,0.6259440243244171,0.17261707900386108,0.7127623560356584,0.8283803720868884
5,0.5906411599029194,0.1487431279138515,0.7396333048696662,0.8467216086933067
6,0.5886293552138588,0.16390430221432134,0.7148861599303812,0.8313956189071773
7,0.5188218273899772,0.1303038416724456,0.7802590365071209,0.8750472417913702
8,0.5048740468241951,0.12654222155872144,0.7813316794106653,0.8752910951629103
9,0.4798545848239552,0.13589123283561907,0.7695111886155626,0.8673865087867727
10,0.4425091039050709,0.12656058371067047,0.7839082400593824,0.8773304786031054
11,0.4546701658855785,0.12455326554022338,0.7884808185424338,0.8802566395467061
12,0.4393304754387249,0.11719434120153126,0.798007401349784,0.8861320796194814
13,0.4240970714525743,0.11751782031435716,0.7953718943458468,0.8845207180917851
14,0.4223290194164623,0.1327687321524871,0.7716698738855292,0.8697580780714158
15,0.4038434375416149,0.116523561509032,0.7950648862307284,0.8840179025747775
16,0.38052405552430585,0.11668453208710018,0.7970956910189405,0.8855692426466795
17,0.37621135278181594,0.11463688117893119,0.8022656010030464,0.8888241811186236
18,0.37024481919678776,0.11929026442138772,0.7904810434370834,0.881073799698938
19,0.3777100964026018,0.1145824217482617,0.8011253496187324,0.8879911630630658
20,0.35695033940401943,0.11557579236595254,0.7986989777736876,0.8864322469450441
